#structured rectangles for project 2, PHYS 640
#map
1     1     2     6     7
2     2     3     7     8
3     3     4     8     9
4     4     5     9     10
5     6     7     11     12
6     7     8     12     13
7     8     9     13     14
8     9     10     14     15
9     11     12     16     17
10     12     13     17     18
11     13     14     18     19
12     14     15     19     20
13     16     17     21     22
14     17     18     22     23
15     18     19     23     24
16     19     20     24     25

coordinates (x, y)
1     0.0     0.0
2     1.0     0.0
3     2.0     0.0
4     3.0     0.0
5     4.0     0.0
6     0.0     1.0
7     1.0     1.0
8     2.0     1.0
9     3.0     1.0
10     4.0     1.0
11     0.0     2.0
12     1.0     2.0
13     2.0     2.0
14     3.0     2.0
15     4.0     2.0
16     0.0     3.0
17     1.0     3.0
18     2.0     3.0
19     3.0     3.0
20     4.0     3.0
21     0.0     4.0
22     1.0     4.0
23     2.0     4.0
24     3.0     4.0
25     4.0     4.0
